Country Name,Country Code,Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
Africa Eastern and Southern,AFE,10608,5906,10346,5778,7471,3821,16510,8522,Aggregate,7996.0,79.61,93.73,95.52,79.06,55.64
Africa Western and Central,AFW,10608,5906,10346,5778,7471,3821,16510,8522,Aggregate,7996.0,79.61,93.73,95.52,79.06,55.64
Arab World,ARB,12440,6838,11871,6555,9438,4640,19689,10099,Aggregate,9768.0,81.92,94.96,103.41,81.1,58.27
Central Europe and the Baltics,CEB,18727,10628,16923,9418,14757,7611,29477,15670,Aggregate,15214.0,76.2,88.11,93.89,79.69,57.4
Caribbean small states,CSS,16786,9508,15277,8499,12805,6606,26301,13923,Aggregate,13364.0,76.55,88.9,93.84,79.75,56.68
East Asia & Pacific (excluding high income),EAP,14336,8048,13025,7185,10683,5467,22468,11764,Aggregate,11224.0,78.13,90.99,95.41,81.28,56.72
Early-demographic dividend,EAR,11134,6194,10662,5934,8026,4092,17376,8973,Aggregate,8500.0,79.75,93.65,96.14,79.68,56.06
East Asia & Pacific,EAS,18058,9917,16139,8664,13689,6959,28554,14632,Aggregate,14160.0,82.09,95.15,96.71,86.28,58.12
Europe & Central Asia (excluding high income),ECA,10902,6058,10371,5712,8189,4075,17028,8770,Aggregate,8480.0,79.96,94.16,100.96,81.57,56.19
Europe & Central Asia,ECS,18727,10628,16923,9418,14757,7611,29477,15670,Aggregate,15214.0,76.2,88.11,93.89,79.69,57.4
Euro area,EMU,22249,12684,19872,11085,17712,9203,35079,18774,Aggregate,18243.0,75.41,86.85,92.46,79.27,57.67
European Union,EUU,22249,12684,19872,11085,17712,9203,35079,18774,Aggregate,18243.0,75.41,86.85,92.46,79.27,57.67
Fragile and conflict affected situations,FCS,9977,5581,9573,5349,7047,3595,15499,8037,Aggregate,7542.0,78.77,92.85,96.02,78.97,55.35
High income,HIC,22128,12429,19753,10854,17500,8975,35020,18450,Aggregate,17975.0,78.04,89.81,94.99,81.99,58.26
Heavily indebted poor countries (HIPC),HPC,9977,5581,9573,5349,7047,3595,15499,8037,Aggregate,7542.0,78.77,92.85,96.02,78.97,55.35
IBRD only,IBD,11767,6577,11161,6204,8577,4375,18360,9534,Aggregate,9056.0,78.91,92.57,96.05,79.9,56.03
IDA & IBRD total,IBT,11420,6384,10853,6038,8281,4224,17806,9244,Aggregate,8762.0,78.88,92.62,96.05,79.74,55.92
IDA total,IDA,10749,5989,10299,5739,7700,3926,16750,8661,Aggregate,8180.0,79.48,93.4,96.13,79.46,55.83
IDA blend,IDB,11134,6194,10662,5934,8026,4092,17376,8973,Aggregate,8500.0,79.75,93.65,96.14,79.68,56.06
IDA only,IDX,9977,5581,9573,5349,7047,3595,15499,8037,Aggregate,7542.0,78.77,92.85,96.02,78.97,55.35
Not classified,INX,15648,8775,14366,7943,11922,6103,24598,12883,Global Avg,12402.0,78.32,90.93,95.35,80.86,57.2
Latin America & Caribbean (excluding high income),LAC,13129,7408,12223,6832,9637,4979,20434,10719,Aggregate,10178.0,77.23,90.63,93.55,78.91,55.64
Latin America & Caribbean,LCN,16786,9508,15277,8499,12805,6606,26301,13923,Aggregate,13364.0,76.55,88.9,93.84,79.75,56.68
Least developed countries: UN classification,LDC,9977,5581,9573,5349,7047,3595,15499,8037,Aggregate,7542.0,78.77,92.85,96.02,78.97,55.35
Low income,LIC,9977,5581,9573,5349,7047,3595,15499,8037,Aggregate,7542.0,78.77,92.85,96.02,78.97,55.35
Lower middle income,LMC,11134,6194,10662,5934,8026,4092,17376,8973,Aggregate,8500.0,79.75,93.65,96.14,79.68,56.06
Low & middle income,LMY,11420,6384,10853,6038,8281,4224,17806,9244,Aggregate,8762.0,78.88,92.62,96.05,79.74,55.92
Late-demographic dividend,LTE,12352,6933,11622,6453,9088,4637,19272,10053,Aggregate,9570.0,78.16,91.7,95.99,80.1,56.02
"Middle East, North Africa, Afghanistan & Pakistan",MEA,12440,6838,11871,6555,9438,4640,19689,10099,Aggregate,9768.0,81.92,94.96,103.41,81.1,58.27
Middle income,MIC,11767,6577,11161,6204,8577,4375,18360,9534,Aggregate,9056.0,78.91,92.57,96.05,79.9,56.03
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,9108,5124,9065,5142,6522,3324,14122,7367,Aggregate,6944.0,77.75,91.69,96.21,76.29,55.05
North America,NAC,30518,17720,26929,15263,25815,13478,48406,26588,Aggregate,26202.0,72.22,82.06,91.53,76.43,58.61
OECD members,OED,22128,12429,19753,10854,17500,8975,35020,18450,Aggregate,17975.0,78.04,89.81,94.99,81.99,58.26
Other small states,OSS,15648,8775,14366,7943,11922,6103,24598,12883,Aggregate,12402.0,78.32,90.93,95.35,80.86,57.2
Pre-demographic dividend,PRE,9977,5581,9573,5349,7047,3595,15499,8037,Aggregate,7542.0,78.77,92.85,96.02,78.97,55.35
Pacific island small states,PSS,18058,9917,16139,8664,13689,6959,28554,14632,Aggregate,14160.0,82.09,95.15,96.71,86.28,58.12
Post-demographic dividend,PST,22128,12429,19753,10854,17500,8975,35020,18450,Aggregate,17975.0,78.04,89.81,94.99,81.99,58.26
South Asia,SAS,8231,4608,7779,4341,5633,2898,12724,6576,Aggregate,6104.0,78.62,93.49,94.38,79.2,54.59
Sub-Saharan Africa (excluding high income),SSA,10608,5906,10346,5778,7471,3821,16510,8522,Aggregate,7996.0,79.61,93.73,95.52,79.06,55.64
Sub-Saharan Africa,SSF,10608,5906,10346,5778,7471,3821,16510,8522,Aggregate,7996.0,79.61,93.73,95.52,79.06,55.64
Small states,SST,15648,8775,14366,7943,11922,6103,24598,12883,Aggregate,12402.0,78.32,90.93,95.35,80.86,57.2
East Asia & Pacific (IDA & IBRD countries),TEA,14336,8048,13025,7185,10683,5467,22468,11764,Aggregate,11224.0,78.13,90.99,95.41,81.28,56.72
Europe & Central Asia (IDA & IBRD countries),TEC,10902,6058,10371,5712,8189,4075,17028,8770,Aggregate,8480.0,79.96,94.16,100.96,81.57,56.19
Latin America & the Caribbean (IDA & IBRD countries),TLA,13129,7408,12223,6832,9637,4979,20434,10719,Aggregate,10178.0,77.23,90.63,93.55,78.91,55.64
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,9108,5124,9065,5142,6522,3324,14122,7367,Aggregate,6944.0,77.75,91.69,96.21,76.29,55.05
South Asia (IDA & IBRD),TSA,8231,4608,7779,4341,5633,2898,12724,6576,Aggregate,6104.0,78.62,93.49,94.38,79.2,54.59
Sub-Saharan Africa (IDA & IBRD countries),TSS,10608,5906,10346,5778,7471,3821,16510,8522,Aggregate,7996.0,79.61,93.73,95.52,79.06,55.64
Upper middle income,UMC,12352,6933,11622,6453,9088,4637,19272,10053,Aggregate,9570.0,78.16,91.7,95.99,80.1,56.02
World,WLD,15648,8775,14366,7943,11922,6103,24598,12883,Aggregate,12402.0,78.32,90.93,95.35,80.86,57.2
