Country Name,City,Region,IncomeGroup,city_median,country_median,% comparison National&city median
Argentina,Buenos Aires,Latin America & Caribbean,Upper middle income,13766.0,10699.0,28.67
Armenia,Yerevan,Europe & Central Asia,Upper middle income,12176.0,11277.0,7.97
Australia,Melbourne,East Asia & Pacific,High income,22296.0,19107.0,16.69
Australia,Canberra,East Asia & Pacific,High income,20596.0,19107.0,7.79
Australia,Brisbane,East Asia & Pacific,High income,20580.0,19107.0,7.71
Australia,Adelaide,East Asia & Pacific,High income,19135.0,19107.0,0.15
Australia,Perth,East Asia & Pacific,High income,20766.0,19107.0,8.68
Australia,Sydney,East Asia & Pacific,High income,27164.0,19107.0,42.17
Austria,Vienna,Europe & Central Asia,High income,20386.0,18614.0,9.52
Azerbaijan,Baku,Europe & Central Asia,Upper middle income,8187.0,7160.0,14.34
Belarus,Minsk,Europe & Central Asia,Upper middle income,8635.0,7437.0,16.11
Brazil,Curitiba,Latin America & Caribbean,Upper middle income,7566.0,7032.0,7.59
Brazil,Florianopolis,Latin America & Caribbean,Upper middle income,9471.0,7032.0,34.68
Brazil,Sao Paulo,Latin America & Caribbean,Upper middle income,10432.0,7032.0,48.35
Brazil,Brasilia,Latin America & Caribbean,Upper middle income,7951.0,7032.0,13.07
Brazil,Porto Alegre,Latin America & Caribbean,Upper middle income,7508.0,7032.0,6.77
Brazil,Rio de Janeiro,Latin America & Caribbean,Upper middle income,9130.0,7032.0,29.84
Brazil,Belo Horizonte,Latin America & Caribbean,Upper middle income,8004.0,7032.0,13.82
Bulgaria,Plovdiv,Europe & Central Asia,High income,10630.0,10291.0,3.29
Bulgaria,Sofia,Europe & Central Asia,High income,13716.0,10291.0,33.28
Bulgaria,Varna,Europe & Central Asia,High income,11680.0,10291.0,13.5
Canada,Halifax,North America,High income,25172.0,22984.0,9.52
Canada,Calgary,North America,High income,23258.0,22984.0,1.19
Canada,Ottawa,North America,High income,24718.0,22984.0,7.54
Canada,Winnipeg,North America,High income,19114.0,22984.0,-16.84
Canada,London,North America,High income,22504.0,22984.0,-2.09
Canada,Victoria,North America,High income,27753.0,22984.0,20.75
Canada,Vancouver,North America,High income,29717.0,22984.0,29.29
Canada,Toronto,North America,High income,26804.0,22984.0,16.62
Canada,Montreal,North America,High income,22181.0,22984.0,-3.49
Canada,Edmonton,North America,High income,20824.0,22984.0,-9.4
Chile,Santiago,Latin America & Caribbean,High income,10052.0,8704.0,15.49
China,Beijing,East Asia & Pacific,Upper middle income,13582.0,7431.0,82.77
China,Guangzhou,East Asia & Pacific,Upper middle income,9170.0,7431.0,23.4
China,Shenzhen,East Asia & Pacific,Upper middle income,10616.0,7431.0,42.86
China,Shanghai,East Asia & Pacific,Upper middle income,12094.0,7431.0,62.75
China,Chengdu,East Asia & Pacific,Upper middle income,7471.0,7431.0,0.54
Colombia,Bogota,Latin America & Caribbean,Upper middle income,8620.0,7507.0,14.83
Croatia,Zagreb,Europe & Central Asia,High income,19934.0,18074.0,10.29
Cyprus,Limassol,Europe & Central Asia,High income,19600.0,15160.0,29.29
Denmark,Copenhagen,Europe & Central Asia,High income,27799.0,19457.0,42.87
Estonia,Tallinn,Europe & Central Asia,High income,15162.0,13092.0,15.81
Finland,Helsinki,Europe & Central Asia,High income,21336.0,17512.0,21.84
France,Paris,Europe & Central Asia,High income,26195.0,17732.0,47.73
Georgia,Tbilisi,Europe & Central Asia,Upper middle income,11046.0,9021.0,22.45
Germany,Hamburg,Europe & Central Asia,High income,25984.0,21526.0,20.71
Germany,Berlin,Europe & Central Asia,High income,28196.0,21526.0,30.99
Germany,Munich,Europe & Central Asia,High income,30792.0,21526.0,43.05
Germany,Stuttgart,Europe & Central Asia,High income,24780.0,21526.0,15.12
Germany,Frankfurt,Europe & Central Asia,High income,26359.0,21526.0,22.45
Greece,Athens,Europe & Central Asia,High income,14478.0,12188.0,18.79
Greece,Thessaloniki,Europe & Central Asia,High income,12753.0,12188.0,4.64
Hungary,Budapest,Europe & Central Asia,High income,16947.0,13365.0,26.8
India,Chennai,South Asia,Lower middle income,4134.0,3538.0,16.85
India,Mumbai,South Asia,Lower middle income,8486.0,3538.0,139.85
India,Kolkata,South Asia,Lower middle income,3418.0,3538.0,-3.39
India,Hyderabad,South Asia,Lower middle income,4488.0,3538.0,26.85
India,Bangalore,South Asia,Lower middle income,5566.0,3538.0,57.32
India,Ahmedabad,South Asia,Lower middle income,3874.0,3538.0,9.5
India,Pune,South Asia,Lower middle income,4928.0,3538.0,39.29
India,Gurgaon,South Asia,Lower middle income,5662.0,3538.0,60.03
India,Delhi,South Asia,Lower middle income,5033.0,3538.0,42.26
Ireland,Dublin,Europe & Central Asia,High income,34936.0,27414.0,27.44
Israel,Tel Aviv-Yafo,Middle East & North Africa,High income,31572.0,23253.0,35.78
Italy,Bologna,Europe & Central Asia,High income,22499.0,18990.0,18.48
Italy,Turin,Europe & Central Asia,High income,18466.0,18990.0,-2.76
Italy,Rome,Europe & Central Asia,High income,24845.0,18990.0,30.83
Italy,Milan,Europe & Central Asia,High income,30112.0,18990.0,58.57
Jordan,Amman,Middle East & North Africa,Lower middle income,7686.0,6593.0,16.58
Kazakhstan,Almaty,Europe & Central Asia,Upper middle income,11566.0,8429.0,37.22
Kazakhstan,Astana (Nur-Sultan),Europe & Central Asia,Upper middle income,8967.0,8429.0,6.38
Kenya,Nairobi,Sub-Saharan Africa,Lower middle income,7644.0,6035.0,26.66
Latvia,Riga,Europe & Central Asia,High income,14838.0,13079.0,13.45
Lithuania,Vilnius,Europe & Central Asia,High income,18316.0,16219.0,12.93
