Country Name,Country Code,Region,IncomeGroup,PPP Ratio (2024),Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
Afghanistan,AFG,Middle East & North Africa,Low income,0.0,9977,5581,9573,5349,7047,3595,15499,8037,Income Avg,7542.0,78.77,92.85,96.02,78.97,55.35
Albania,ALB,Europe & Central Asia,Upper middle income,0.426,12342,7011,11505,6350,9294,4742,19157,10087,Numbeo,9690.0,76.04,89.92,95.99,81.18,55.22
Algeria,DZA,Middle East & North Africa,Upper middle income,0.326,5595,3753,6446,4391,3515,2146,8160,5165,Numbeo,4778.0,49.08,57.99,63.79,46.8,45.84
American Samoa,ASM,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Andorra,AND,Europe & Central Asia,High income,0.658,19926,11276,18039,10000,15471,7948,31353,16631,PPP Model,16051.0,76.71,88.52,94.65,80.39,57.35
Angola,AGO,Sub-Saharan Africa,Lower middle income,0.263,7854,4373,7709,4321,5341,2717,12139,6238,PPP Model,5790.0,79.6,94.6,96.58,78.41,54.56
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,0.705,21383,12115,19239,10656,16769,8621,33691,17914,PPP Model,17342.0,76.5,88.07,94.51,80.55,57.56
Argentina,ARG,Latin America & Caribbean,Upper middle income,0.459,13537,8104,12330,7251,9702,5068,20865,11696,Numbeo,10699.0,67.04,78.39,91.44,70.05,54.13
Armenia,ARM,Europe & Central Asia,Upper middle income,0.375,14546,7484,14805,7583,11511,5223,23232,11043,Numbeo,11277.0,94.36,110.38,120.39,95.24,59.71
Aruba,ABW,Latin America & Caribbean,High income,0.78,23689,13445,21126,11687,18851,9702,37398,19955,PPP Model,19403.0,76.19,87.41,94.3,80.76,57.87
Australia,AUS,East Asia & Pacific,High income,0.896,23150,12579,20698,11042,19393,9707,36960,18821,Numbeo,19107.0,84.04,96.38,99.78,87.45,59.65
Austria,AUT,Europe & Central Asia,High income,0.769,22915,13520,20140,11608,17407,9414,35743,19822,Numbeo,18614.0,69.49,80.32,84.91,73.5,55.98
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,0.29,9839,5004,8963,4450,7106,3412,15528,7213,Numbeo,7160.0,96.62,115.28,108.26,101.42,57.82
"Bahamas, The",BHS,Latin America & Caribbean,High income,0.958,29196,16631,25568,14110,23934,12346,46276,24868,PPP Model,24401.0,75.55,86.09,93.86,81.2,58.5
Bahrain,BHR,Middle East & North Africa,High income,0.443,15747,8037,14113,7149,11900,5618,25336,11998,Numbeo,11949.0,95.93,111.17,111.82,97.41,60.89
Bangladesh,BGD,South Asia,Lower middle income,0.269,3981,2523,3816,2430,2274,1325,5865,3471,Numbeo,2997.0,57.79,68.97,71.62,57.04,47.32
Barbados,BRB,Latin America & Caribbean,High income,1.069,32663,18642,28327,15611,27208,14051,51884,27988,PPP Model,27598.0,75.21,85.38,93.64,81.46,58.85
Belarus,BLR,Europe & Central Asia,Upper middle income,0.252,9240,5233,7898,4323,7294,3411,14405,7580,Numbeo,7437.0,76.57,90.04,113.84,82.7,55.9
Belgium,BEL,Europe & Central Asia,High income,0.762,26565,15973,23837,14103,21908,12241,41411,23512,Numbeo,22710.0,66.31,76.13,78.97,69.02,55.89
Belize,BLZ,Latin America & Caribbean,Upper middle income,0.535,16158,9110,14896,8278,12177,6241,25322,13336,PPP Model,12756.0,77.37,89.88,95.11,79.95,56.71
Benin,BEN,Sub-Saharan Africa,Lower middle income,0.335,10027,5607,9635,5385,7060,3600,15570,8068,PPP Model,7564.0,78.83,92.98,96.11,78.92,55.28
Bermuda,BMU,North America,High income,1.15,35160,20093,30298,16683,29597,15297,55930,30247,PPP Model,29922.0,74.99,84.91,93.48,81.61,59.07
Bhutan,BTN,South Asia,Lower middle income,0.0,11134,6194,10662,5934,8026,4092,17376,8973,Income Avg,8500.0,79.75,93.65,96.14,79.68,56.06
Bolivia,BOL,Latin America & Caribbean,Lower middle income,0.343,8725,5102,8640,5142,5978,3243,13488,7363,Numbeo,6670.0,71.01,83.19,84.34,68.03,54.59
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,0.374,13795,8566,12955,7908,10070,5614,20604,11960,Numbeo,11015.0,61.04,72.27,79.37,63.82,49.36
Botswana,BWA,Sub-Saharan Africa,Upper middle income,0.375,11239,6297,10693,5968,8043,4107,17490,9098,PPP Model,8570.0,78.48,92.24,95.84,79.17,55.62
Brazil,BRA,Latin America & Caribbean,Upper middle income,0.462,9143,5345,8413,4851,6441,3347,13992,7622,Numbeo,7032.0,71.06,83.57,92.44,73.43,53.04
British Virgin Islands,VGB,Latin America & Caribbean,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Brunei Darussalam,BRN,East Asia & Pacific,High income,0.369,11061,6195,10538,5882,7897,4032,17207,8946,PPP Model,8422.0,78.55,92.34,95.86,79.16,55.56
Bulgaria,BGR,Europe & Central Asia,High income,0.419,12562,7708,11518,7024,9617,5297,19076,10965,Numbeo,10291.0,62.97,73.97,81.56,63.98,51.85
Burkina Faso,BFA,Sub-Saharan Africa,Low income,0.339,10153,5678,9746,5446,7161,3653,15769,8175,PPP Model,7668.0,78.81,92.89,96.03,78.96,55.31
Burundi,BDI,Sub-Saharan Africa,Low income,0.184,5440,3010,5512,3103,3511,1779,8348,4237,PPP Model,3874.0,80.73,97.03,97.36,77.63,53.46
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,0.464,13963,7853,13037,7257,10306,5274,21820,11435,PPP Model,10870.0,77.8,90.82,95.41,79.65,56.27
Cambodia,KHM,East Asia & Pacific,Lower middle income,0.33,9872,5518,9499,5309,6935,3536,15324,7937,PPP Model,7436.0,78.91,93.07,96.13,78.92,55.23
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,0.327,9798,5476,9434,5274,6876,3506,15207,7874,PPP Model,7375.0,78.93,93.13,96.12,78.88,55.21
Canada,CAN,North America,High income,0.84,26563,15980,23564,13870,22405,12238,41655,23737,Numbeo,22984.0,66.23,75.49,83.08,69.89,56.82
Cayman Islands,CYM,Latin America & Caribbean,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Central African Republic,CAF,Sub-Saharan Africa,Low income,0.409,12275,6888,11590,6462,8895,4546,19135,9984,PPP Model,9440.0,78.21,91.66,95.67,79.36,55.89
Chad,TCD,Sub-Saharan Africa,Low income,0.351,10503,5878,10052,5615,7444,3798,16324,8472,PPP Model,7958.0,78.68,92.68,96.0,79.02,55.42
Channel Islands,CHI,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Chile,CHL,Latin America & Caribbean,High income,0.462,10780,6605,9548,5691,7955,4415,16422,9454,Numbeo,8704.0,63.21,73.7,80.18,67.77,52.34
China,CHN,East Asia & Pacific,Upper middle income,0.491,10617,5564,8843,4378,6800,3297,16739,8062,Numbeo,7431.0,90.82,107.63,106.25,101.99,57.66
