Country Name,City,Country Code,Region,IncomeGroup,"PPP Ratio
(2024)","Std Family
Urban
(Annual)","Std Family
Rural
(Annual)","Typical Fam
Urban
(Annual)","Typical Fam
Rural
(Annual)","Single Indiv
Urban
(Annual)","Single Indiv
Rural
(Annual)","Single Parent
Urban
(Annual)","Single Parent
Rural
(Annual)",Source
Aruba,,ABW,Latin America & Caribbean,High income,0.780,"USD 23,689","USD 13,445","USD 21,126","USD 11,687","USD 18,851","USD 9,702","USD 37,398","USD 19,955",PPP Model
Africa Eastern and Southern,,AFE,,,0.000,"USD 10,608","USD 5,906","USD 10,346","USD 5,778","USD 7,471","USD 3,821","USD 16,510","USD 8,522",Aggregate
Afghanistan,,AFG,Middle East & North Africa,Low income,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Income Avg
Africa Western and Central,,AFW,,,0.000,"USD 10,608","USD 5,906","USD 10,346","USD 5,778","USD 7,471","USD 3,821","USD 16,510","USD 8,522",Aggregate
Angola,,AGO,Sub-Saharan Africa,Lower middle income,0.263,"USD 7,854","USD 4,373","USD 7,709","USD 4,321","USD 5,341","USD 2,717","USD 12,139","USD 6,238",PPP Model
Albania,,ALB,Europe & Central Asia,Upper middle income,0.426,"USD 12,342","USD 7,011","USD 11,505","USD 6,350","USD 9,294","USD 4,742","USD 19,157","USD 10,087",Numbeo
Andorra,,AND,Europe & Central Asia,High income,0.658,"USD 19,926","USD 11,276","USD 18,039","USD 10,000","USD 15,471","USD 7,948","USD 31,353","USD 16,631",PPP Model
Arab World,,ARB,,,0.000,"USD 12,440","USD 6,838","USD 11,871","USD 6,555","USD 9,438","USD 4,640","USD 19,689","USD 10,099",Aggregate
United Arab Emirates,,ARE,Middle East & North Africa,High income,0.635,"USD 21,935","USD 11,449","USD 19,095","USD 9,727","USD 18,050","USD 7,937","USD 36,386","USD 18,091",Numbeo
Argentina,,ARG,Latin America & Caribbean,Upper middle income,0.459,"USD 13,537","USD 8,104","USD 12,330","USD 7,251","USD 9,702","USD 5,068","USD 20,865","USD 11,696",Numbeo
Armenia,,ARM,Europe & Central Asia,Upper middle income,0.375,"USD 14,546","USD 7,484","USD 14,805","USD 7,583","USD 11,511","USD 5,223","USD 23,232","USD 11,043",Numbeo
American Samoa,,ASM,East Asia & Pacific,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Antigua and Barbuda,,ATG,Latin America & Caribbean,High income,0.705,"USD 21,383","USD 12,115","USD 19,239","USD 10,656","USD 16,769","USD 8,621","USD 33,691","USD 17,914",PPP Model
Australia,,AUS,East Asia & Pacific,High income,0.896,"USD 23,150","USD 12,579","USD 20,698","USD 11,042","USD 19,393","USD 9,707","USD 36,960","USD 18,821",Numbeo
Austria,,AUT,Europe & Central Asia,High income,0.769,"USD 22,915","USD 13,520","USD 20,140","USD 11,608","USD 17,407","USD 9,414","USD 35,743","USD 19,822",Numbeo
Azerbaijan,,AZE,Europe & Central Asia,Upper middle income,0.290,"USD 9,839","USD 5,004","USD 8,963","USD 4,450","USD 7,106","USD 3,412","USD 15,528","USD 7,213",Numbeo
Burundi,,BDI,Sub-Saharan Africa,Low income,0.184,"USD 5,440","USD 3,010","USD 5,512","USD 3,103","USD 3,511","USD 1,779","USD 8,348","USD 4,237",PPP Model
